RECTIME,RANGVX,RANGX
7.92,-3.2959,-169.3158
7.93,-3.1128,-169.3542
7.94,-2.6855,-169.3872
7.95,-2.2583,-169.4256
7.96,-1.8921,-169.4531
7.97,-1.6479,-169.4806
7.98,-1.4038,-169.5025
7.99,-1.4038,-169.5245
8,-1.3427,-169.552
8.01,-1.2207,-169.5739
8.02,-1.0986,-169.5959
8.03,-0.8545,-169.6124
8.04,-0.5493,-169.6289
8.05,-0.2441,-169.6399
8.06,0.1221,-169.6508
8.07,0.4883,-169.6508
8.08,0.7325,-169.6508
8.09,0.9156,-169.6453
8.1,1.0376,-169.6399
8.11,1.0987,-169.6344
8.12,1.0987,-169.6289
8.13,1.1597,-169.6234
8.14,1.2207,-169.6179
8.15,1.3428,-169.6179
8.16,1.4649,-169.6124
8.17,1.648,-169.6069
8.18,1.8921,-169.6014
8.19,2.2583,-169.5904
8.2,2.7466,-169.5794
8.21,3.1739,-169.5575
8.22,3.6011,-169.53
8.23,3.8452,-169.4915
8.24,3.9673,-169.4531
8.25,3.9063,-169.4091
8.26,3.7232,-169.3652
8.27,3.2349,-169.3267
8.28,2.6856,-169.2938
8.29,2.0752,-169.2718
8.3,1.5869,-169.2608
8.31,1.2207,-169.2498
8.32,1.0987,-169.2443
8.33,1.2818,-169.2389
8.34,1.648,-169.2334
8.35,2.0752,-169.2224
8.36,2.5635,-169.2004
8.37,2.8076,-169.1784
8.38,2.9297,-169.1565
8.39,2.8687,-169.1345
8.4,2.8076,-169.118
8.41,2.5635,-169.096
8.42,2.3804,-169.085
8.43,2.1363,-169.0741
8.44,1.9532,-169.0741
8.45,2.0142,-169.0741
8.46,2.4414,-169.0796
8.47,3.0518,-169.085
8.48,3.7842,-169.085
8.49,4.8218,-169.085
8.5,6.0425,-169.0741
8.51,7.0801,-169.0576
8.52,8.3008,-169.0301
8.53,9.9488,-168.9972
8.54,11.5967,-168.9422
8.55,13.1836,-168.8708
8.56,14.4654,-168.7829
8.57,15.7471,-168.6785
8.58,16.7847,-168.5632
8.59,17.334,-168.4314
8.6,17.6392,-168.294
8.61,17.8223,-168.1512
8.62,17.9444,-168.0084
8.63,18.0054,-167.8601
8.64,18.1275,-167.7063
8.65,18.3716,-167.5579
8.66,18.6768,-167.3986
8.67,19.104,-167.2448
8.68,19.7754,-167.08
8.69,20.3247,-166.9152
8.7,20.9961,-166.7395
8.71,21.8506,-166.5637
8.72,22.6441,-166.3769
8.73,23.4986,-166.1737
8.74,24.5362,-165.9649
8.75,25.3907,-165.7397
8.76,26.3062,-165.5035
8.77,27.2827,-165.2508
8.78,28.1983,-164.9926
8.79,29.0528,-164.718
8.8,29.7852,-164.4268
8.81,30.2735,-164.1302
8.82,30.5786,-163.8281
8.83,30.8838,-163.5205
8.84,31.3111,-163.2129
8.85,31.4942,-162.8888
8.86,31.4331,-162.5647
8.87,31.3721,-162.2406
8.88,31.3721,-161.922
8.89,31.3721,-161.6034
8.9,31.4331,-161.2793
8.91,31.5552,-160.9552
8.92,31.6773,-160.6311
8.93,31.7993,-160.307
8.94,32.0435,-159.9829
8.95,32.8369,-159.6588
8.96,33.9356,-159.3237
8.97,34.7901,-158.9721
8.98,35.5835,-158.6151
8.99,36.3159,-158.247
9,36.8042,-157.868
9.01,37.1094,-157.489
9.02,37.4146,-157.099
9.03,37.2925,-156.7035
9.04,36.6211,-156.3025
9.05,35.5225,-155.9124
9.06,34.3018,-155.5389
9.07,32.7149,-155.1709
9.08,30.9449,-154.8248
9.09,28.8697,-154.5007
9.1,27.1607,-154.1986
9.11,26.062,-153.9129
9.12,25.3907,-153.6383
9.13,25.2075,-153.3746
9.14,25.5738,-153.1109
9.15,26.001,-152.8473
9.16,26.6724,-152.5891
9.17,27.71,-152.3254
